Model,Pris,Kørte_kilometer,Link_til_bil,scrapedate,Pris_DKK,Pris_med_afgift
"VW ID.4 Volkswagen Pro ACC SPORTP. Winterr. Wärmep. IQ.L 0,99",346000,24777,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900251273num_on_page5page45search_id56362398titleVWID.4gebrauchtkaufen,2024-11-22,2577700,3222125
VW ID.4 Volkswagen PRO PERFORMANCE NAVI IQ.LIGHT LM20,34480,34999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1906019736num_on_page1page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,256876,321095
VW ID.4 Volkswagen Pure Performance 125 kW Navi LED,27480,19988,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897510350num_on_page2page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,204726,255907.5
VW ID.4 Pro Performance Matrix Sitzhzg Pano Navi Kamera,39870,36995,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901172424num_on_page3page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,297031.5,371289.375
VW ID.4 Volkswagen Pro Performance AHKKOMFORTPAKET,38990,12655,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902524908num_on_page4page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,290475.5,363094.375
VW ID.4 Volkswagen Pro AHKWPumpeCarPlayMATRIXLMKlimaA,39265,10278,httpswww.12gebrauchtwagen.decpartnercar_ad_id1874417020num_on_page5page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,292524.25,365655.3125
VW ID.4 GTX 4M WÄRMEPANOIQLAHKNAVACC21DCC,42480,19900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890991356num_on_page1page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,316476,395595
VW ID.4 Pro Performance MATRIXLED ACC NAVI AHK 20 PARKASS KEYLESS SHZ,40650,10530,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893298691num_on_page2page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,302842.5,378553.125
VW ID.4 Pro GOAL 210 kW 286 PS 77 kWh 1GangAutomatik,57113,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1872964680num_on_page3page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,425491.85000000003,531864.8125
VW ID.4 Volkswagen Pro AHKCarPlayMATRIXLMKlimaASoundSys,37345,8686,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894401654num_on_page4page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,278220.25,347775.3125
VW ID.4 Volkswagen GTX 220 kW 4Motion GTX,34980,49692,httpswww.12gebrauchtwagen.decpartnercar_ad_id1899775330num_on_page5page45search_id56362398titleVWID.4gebrauchtkaufen,2024-11-22,260601,325751.25
VW ID.4 Pro GOAL 210 kW 286 PS 77 kWh Bluetooth LED,56155,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1837813896num_on_page1page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,418354.75,522943.4375
VW ID.4 Pure 109 kW,22990,79547,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883688024num_on_page2page45search_id56381231titleVWID.4gebrauchtkaufen,2024-11-22,171275.5,214094.375
VW ID.4 Pro Performance AHKWÄRMEPUMPE21ZOLLKAMERA,36999,10400,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883794558num_on_page1page46premiumfalsesearch_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,275642.55,344553.1875
VW ID.4 Volkswagen Pro Performance KomfortAssis19Wärmepumpe,31900,17480,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894751232num_on_page2page46premiumfalsesearch_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,237655,297068.75
"VW ID.4 Pro Performance 1st Max AHK, PANOR.SD, NAVI",35545,42900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907831380num_on_page3page46premiumfalsesearch_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,264810.25,331012.8125
VW ID.4 Pro Performance NAVI PANO AHK LED,41700,9976,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903459328num_on_page1page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,310665,388331.25
VW ID.4 GTX 4M MATRIX ACC 21 DCC WÄPU NAVI CAM,37690,19900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903415519num_on_page2page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,280790.5,350988.125
VW ID.4 Volkswagen Pro Performance Navi LED LaneAssist FrontAssist,379000,38405,httpswww.12gebrauchtwagen.decpartnercar_ad_id1778689188num_on_page3page46search_id56302921titleVWID.4gebrauchtkaufen,2024-11-22,2823550,3529437.5
VW ID.4 PRO PERFORMANCE LEDKAMERAAHKPANO,39399,24350,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883712841num_on_page3page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,293522.55,366903.1875
VW ID.4 Volkswagen GTX 4MOTION Design KomfortInfo Plus Winterräder,707000,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905748041num_on_page4page46search_id56362440titleVWID.4gebrauchtkaufen,2024-11-22,5267150,6583937.5
VW ID.4 Volkswagen Pure Navi LED LaneAssist AppConnect,279000,45365,httpswww.12gebrauchtwagen.decpartnercar_ad_id1650272541num_on_page1page7search_id56354221titleAllegebrauchtenVWID.4inSchwerteaufeinenBlick,2024-11-22,2078550,2598187.5
VW ID.4 GTX 4Motion 220 kW,43700,19500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1872888531num_on_page1page46search_id56302921titleVWID.4gebrauchtkaufen,2024-11-22,325565,406956.25
VW ID.4 Volkswagen ID.4Pro PerformanceDesign PAndroid AApple C.,40448,1000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1899436937num_on_page1page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,301337.60000000003,376672.00000000006
VW ID.4 Volkswagen Pro Performance Navi LED LaneAssist FrontAssist,379000,38405,httpswww.12gebrauchtwagen.decpartnercar_ad_id1650272775num_on_page2page7search_id56354221titleAllegebrauchtenVWID.4inSchwerteaufeinenBlick,2024-11-22,2823550,3529437.5
VW ID.4 Volkswagen Pro Performance 150kw LEDNAVIACCSHZCCS,28460,41688,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897640117num_on_page2page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,212027,265033.75
VW ID.4 Volkswagen 4Motion GTX AHK NAV MJ2023 5 Jahre Garantie 8fach,38900,26000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901594444num_on_page1page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,289805,362256.25
VW ID.4 Pro Performance WÄRMENAVIAHKACCRCAM,36620,17900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891010734num_on_page2page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,272819,341023.75
VW ID.4 GTX 77kWh Navi LED Kamera Pano,36990,32990,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907947813num_on_page3page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,275575.5,344469.375
VW ID.4 Volkswagen Pro AHKWPumpeCarPlayMATRIXLMKlimaA,38485,14108,httpswww.12gebrauchtwagen.decpartnercar_ad_id1889801216num_on_page4page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,286713.25,358391.5625
VW ID.4 Volkswagen GTX AHK Matrix Panorama Head UP Sthz ACC Na,58887,9000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894273500num_on_page5page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,438708.15,548385.1875
VW ID.4 Volkswagen Performance Upgrade Pro,44000,10300,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897577729num_on_page1page46search_id56381317titleVWID.4gebrauchtkaufen,2024-11-22,327800,409750
VW ID.4 Volkswagen Pure Navi LED LaneAssist AppConnect,279000,45365,httpswww.12gebrauchtwagen.decpartnercar_ad_id1778689195num_on_page4page1search_id56283486titleVWID.4Gebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,2078550,2598187.5
VW ID.4 Pro Performance 1st First Edition AHKACCL,31900,42792,httpswww.12gebrauchtwagen.decpartnercar_ad_id1809374612num_on_page1page47premiumfalsesearch_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,237655,297068.75
VW ID.4 PRO PERFORMANCE 204PS NP.67T ACC.5JG.AHK.W,38680,19950,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893130052num_on_page2page47premiumfalsesearch_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,288166,360207.5
VW ID.4 Pro Performance MATRIXLED ACC NAVI AHK 20 PARKASS KEYLESS SHZ,40650,10530,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893354579num_on_page3page47premiumfalsesearch_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,302842.5,378553.125
VW ID.4 Pro Performance Navi AHK LED Heckleuchten Sitzheizung Leichtmetallfelgen Pro Perfo,37750,22969,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910259759num_on_page1page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,281237.5,351546.875
VW ID.4 Volkswagen GTX Autom. 4Motion Design21Komfort AHK,47900,6060,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894173349num_on_page2page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,356855,446068.75
VW ID.4 Volkswagen Pro AHKWPumpeCarPlayMATRIXLMKlimaA,39085,10776,httpswww.12gebrauchtwagen.decpartnercar_ad_id1874425678num_on_page3page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,291183.25,363979.0625
VW ID.4 Pro Performance Navi LED AHK,38660,14000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898778978num_on_page4page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,288017,360021.25
VW ID.4 Pro LM19 AHK WÄRMEPUMPE NAVIPRO ACC SITZHZG,29180,49850,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905689926num_on_page5page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,217391,271738.75
VW ID.4 Volkswagen Pro Performance 77 kWh GJR InterieurPlus,46690,19999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897615108num_on_page1page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,347840.5,434800.625
VW ID.4 1st,32238.999999999996,30316,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646893112num_on_page2page47search_id56362501titleVWID.4gebrauchtkaufen,2024-11-22,240180.55,300225.6875
VW ID.4 Volkswagen 109 kW Pure NAVIWinterpaketSHZPDCLED,24680,32169,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897283325num_on_page2page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,183866,229832.5
VW ID.4 GTXAHKNAVRFKACCLEDAPPPDCDAB,38970,19000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893309615num_on_page3page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,290326.5,362908.125
VW ID.4 Pro Performance,41879,8309,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646840907num_on_page5page47search_id56302968titleVWID.4gebrauchtkaufen,2024-11-22,311998.55,389998.1875
VW ID.4 Pro Performance AHKWÄRMEPUMPE21ZOLLKAMERA,37299,11600,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907874516num_on_page1page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,277877.55,347346.9375
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,52270,11,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898960051num_on_page2page47search_id56362501titleVWID.4gebrauchtkaufen,2024-11-22,389411.5,486764.375
VW ID.4 Pro Performance 77 kWh Wärmep. ARHUD 360Kamera,31890,70893,httpswww.12gebrauchtwagen.decpartnercar_ad_id1861807384num_on_page2page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,237580.5,296975.625
VW ID.4 Business,36039,16492,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646888299num_on_page4page47search_id56302968titleVWID.4gebrauchtkaufen,2024-11-22,268490.55,335613.1875
VW ID.4 Volkswagen Pro AHKCarPlayMATRIXLMKlimaASoundSys,37884,19515,httpswww.12gebrauchtwagen.decpartnercar_ad_id1911230127num_on_page3page47search_id56381401titleVWID.4gebrauchtkaufen,2024-11-22,282235.8,352794.75
VW ID.4 1st,32238.999999999996,30316,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646842703num_on_page1page47search_id56302968titleVWID.4gebrauchtkaufen,2024-11-22,240180.55,300225.6875
VW ID.4 Pro 210 kW 286 PS 77 kWh 1GangAutomatik,54175,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903327283num_on_page1page48premiumfalsesearch_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,403603.75,504504.6875
VW ID.4 Volkswagen Pure City Mon. Leasingrate 356Euro,324000,5904,httpswww.12gebrauchtwagen.decpartnercar_ad_id1904947706num_on_page2page48premiumfalsesearch_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,2413800,3017250
VW ID.4 Business,36039,16492,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646842166num_on_page3page48premiumfalsesearch_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,268490.55,335613.1875
VW ID.4 Pro Performance,41879,8309,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646877488num_on_page1page48search_id56362538titleVWID.4gebrauchtkaufen,2024-11-22,311998.55,389998.1875
VW ID.4 Pro Performance,41879,8611,httpswww.12gebrauchtwagen.decpartnercar_ad_id1646859737num_on_page2page48search_id56303003titleVWID.4gebrauchtkaufen,2024-11-22,311998.55,389998.1875
VW ID.4 Volkswagen GTX ACC Kamera 360 Wärmepumpe,409000,29644,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900269969num_on_page3page48search_id56303003titleVWID.4gebrauchtkaufen,2024-11-22,3047050,3808812.5
VW ID.4 Pro Performance,41879,8611,httpswww.12gebrauchtwagen.decpartnercar_ad_id1647042491num_on_page3page48search_id56362538titleVWID.4gebrauchtkaufen,2024-11-22,311998.55,389998.1875
VW ID.4 PRO PERFORMANCE LM19 KAMERA IQ.LIGHT NAVI,29600,56376,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893174978num_on_page1page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,220520,275650
VW ID.4 Volkswagen Pro Performance CCSWÄRMEPUMPEMATRIXKAMERA,345000,9108,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900255045num_on_page2page48search_id56362538titleVWID.4gebrauchtkaufen,2024-11-22,2570250,3212812.5
VW ID.4 Volkswagen PURE LM19 AHK WÄRMEPUMPE NAVIPRO,25690,61771,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910492480num_on_page2page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,191390.5,239238.125
VW ID.4 Volkswagen Pure Performance 125kw LEDNAVIACCSHZCCS,25730,52000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897414739num_on_page3page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,191688.5,239610.625
VW ID.4 Volkswagen Pro Performance NAVIAHKACCLANEASSIST,38830,22500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1806551386num_on_page4page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,289283.5,361604.375
VW ID.4 Pure Goal 170 PS sofort verfügbar,45862,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1873078060num_on_page1page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,341671.9,427089.875
VW ID.4 Pro Performance PanoAHKKamera,40990,5651,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883667198num_on_page2page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,305375.5,381719.375
VW ID.4 Pro Performance 1st Wärmepumpe AHK ACC PDC Kamera LED,28977,60891,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901085282num_on_page3page48search_id56381480titleVWID.4gebrauchtkaufen,2024-11-22,215878.65,269848.3125
VW ID.4 PRO PERFORMANCE LM19 KAMERA IQ.LIGHT NAVI,29600,56376,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893339478num_on_page5page48search_id56303003titleVWID.4gebrauchtkaufen,2024-11-22,220520,275650
VW ID.4 PRO UPE65 PANO AHK KAMERA,41040,19985,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898737554num_on_page1page49premiumfalsesearch_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,305748,382185
VW ID.4 GTX Navi AHK Panoramadach Sitzheizung Leichtmetallfelgen GTX,46750,21451,httpswww.12gebrauchtwagen.decpartnercar_ad_id1885925886num_on_page2page49premiumfalsesearch_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,348287.5,435359.375
VW ID.4 Pro Performance NAVIAHKACCLANEASSIST,38830,22500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1643386207num_on_page3page49premiumfalsesearch_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,289283.5,361604.375
VW ID.4 Pro GOAL 77 kWh AHKMATRIX,53922,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1837870223num_on_page1page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,401718.9,502148.625
VW ID.4 GTX 4MOTION PANO NAVI AHK ACC,44330,18511,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910186793num_on_page2page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,330258.5,412823.125
VW ID.4 Volkswagen GTX hAHKMatrixPanoWärmepumpe04.29Garantie,627000,14170,httpswww.12gebrauchtwagen.decpartnercar_ad_id1857985589num_on_page3page49search_id56362581titleVWID.4gebrauchtkaufen,2024-11-22,4671150,5838937.5
"VW ID.4 Volkswagen Pure 10952 285,ohne Anzahlung ACC Wärmepu",23949,24693,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894738657num_on_page3page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,178420.05000000002,223025.06250000003
VW ID.4 Pure 52 kWh 109 kW Pure 5 Türen,22511,27925,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891072406num_on_page4page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,167706.95,209633.6875
VW ID.4 PRO PERFORMANCE AHK NAVI LED,27180,75825,httpswww.12gebrauchtwagen.decpartnercar_ad_id1872954843num_on_page1page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,202491,253113.75
VW ID.4 Volkswagen Pro Performance 77 kWh 20AssistsystemeN,37770,13400,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897522337num_on_page2page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,281386.5,351733.125
VW ID.4 Pro Performance AHKWÄRMEPUMPE21ZOLLKAMERA,36999,14800,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883662327num_on_page3page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,275642.55,344553.1875
VW ID.4 Pro Performance Wärmepumpe Infotainment,35950,11020,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907960877num_on_page4page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,267827.5,334784.375
VW ID.4 Pro Performance IQ.LIGHTAHKNAVIWÄRMEPUMPEKAMERA,39485,11300,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883658097num_on_page5page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,294163.25,367704.0625
"VW ID.4 ProPerformanceJETZT ab 2,74 Zins",38250,6000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1869040598num_on_page1page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,284962.5,356203.125
VW ID.4 Pro Performance IQ.LIGHTAHKNAVIWÄRMEPUMPEKAMERA20ZOLL,36699,24900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883723028num_on_page2page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,273407.55,341759.4375
VW ID.4 Volkswagen Pro AHKWPumpeCarPlayMATRIXLMKlimaA,37135,8963,httpswww.12gebrauchtwagen.decpartnercar_ad_id1899978315num_on_page3page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,276655.75,345819.6875
VW ID.4 Pro Perf. 1st Edition 20 NAVI LED ACC KAMERA,31650,40150,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905694827num_on_page4page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,235792.5,294740.625
VW ID.4 Volkswagen Pro 77 kWh 210 kW Pro mit Wärmepumpe,44900,11800,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894339025num_on_page5page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,334505,418131.25
VW ID.4 Pro Performance IQ.LIGHTAHKDIGITALNAVIKAMERAWÄRMEPUMPE20ZOLL,36699,27400,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883659776num_on_page1page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,273407.55,341759.4375
VW ID.4 Pro Performance FAHRSCHULWAGEN NAVI AHK,28750,46684,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905603206num_on_page2page49search_id56381555titleVWID.4gebrauchtkaufen,2024-11-22,214187.5,267734.375
VW ID.4 Pro PerformanceMATRIXWärmepumpeAHKKAMDesign,36430,40305,httpswww.12gebrauchtwagen.decpartnercar_ad_id1883777171num_on_page1page50premiumfalsesearch_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,271403.5,339254.375
VW ID.4 Pro Perform. 77 kWh 150 kW Pro mit Navi 5 Türen,36430,19887,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910334318num_on_page2page50premiumfalsesearch_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,271403.5,339254.375
VW ID.4 Volkswagen Pro Performance NAVI PANO AHK LED,446000,9976,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901251304num_on_page3page50premiumfalsesearch_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,3322700,4153375
VW ID.4 Pure LED Navi CCS ACC Sthz,24888,22700,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893286293num_on_page1page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,185415.6,231769.5
VW ID.4 Pro Performance 150 KW 77,37500,17900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1873019161num_on_page2page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,279375,349218.75
VW ID.4 Pro 77 kWh AHK 19 ARHUD IQ HARMAN PANO,49390,3000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1837945917num_on_page3page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,367955.5,459944.375
VW ID.4 Volkswagen Pure City 149PS 52kWh Wärmepumpe Alu18ACC,25600,22280,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897953354num_on_page4page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,190720,238400
VW ID.4 Pro 77 kWh 1GangAutomatik,54190,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1673508222num_on_page5page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,403715.5,504644.375
VW ID.4 Volkswagen GTX 4motion 220kW HeadUpPANOAHV,47890,9500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1880749951num_on_page1page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,356780.5,445975.625
VW ID.4 Volkswagen PRO PERFORMANCE WÄRMEPUMPE PANO AHK,34950,39947,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894816292num_on_page2page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,260377.5,325471.875
VW ID.4 Pro Perfomance NAVI LED ACC PDC,27270,34890,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875266876num_on_page3page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,203161.5,253951.875
VW ID.4 Pure PDC LED Navi AppConnect LaneAssist,23777,37993,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903249040num_on_page4page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,177138.65,221423.3125
VW ID.4 Volkswagen Pure Performance,40585,1000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907162632num_on_page5page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,302358.25,377947.8125
VW ID.4 Volkswagen Pro Performance DesignKomfort IQ.LED,43900,2499,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894187142num_on_page1page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,327055,408818.75
VW ID.4 GTX 4MOTIONPANOAHKRFKNAVAPPPARKASSIST,49970,17000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1881512391num_on_page2page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,372276.5,465345.625
VW ID.4 Volkswagen PURE NAVIHEAD UPACCSHZPDC,24912,39900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900243028num_on_page3page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,185594.4,231993
VW ID.4 Pro Performance NAVI LED PDC SPURH KLIMAA,28880,18910,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875143297num_on_page4page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,215156,268945
VW ID.4 GTX 4Motion AHK21Wärmep.AssistInfotDCC,43901,13629,httpswww.12gebrauchtwagen.decpartnercar_ad_id1839682392num_on_page5page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,327062.45,408828.0625
"VW ID.4 Pro GOAL 77 kWh AHK,ACC,KAMERA,VZE,LED,NAVI",53643,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907949560num_on_page1page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,399640.35000000003,499550.43750000006
VW ID.4 W Pro Performance Family ACC SHZ LED Navi,29604,88459,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910250521num_on_page2page50search_id56381595titleVWID.4gebrauchtkaufen,2024-11-22,220549.80000000002,275687.25
VW ID.4 Pro GOAL 210 kW 286 PS 77 kWh,56155,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1853272415num_on_page1page51premiumfalsesearch_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,418354.75,522943.4375
VW ID.4 Volkswagen Pro AHKMassageWPumpeCarPlay360SpurH,43435,5942,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902235322num_on_page2page51premiumfalsesearch_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,323590.75,404488.4375
VW ID.4 Volkswagen GTX 4MOTION Design KomfortInfo Plus Winterräder,707000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907180439num_on_page3page51premiumfalsesearch_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,5267150,6583937.5
VW ID.4 Volkswagen Pro AHKWPumpeCarPlayMATRIXLMKlimaA,38635,14490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1899978263num_on_page1page51search_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,287830.75,359788.4375
VW ID.4 77 kWh Pro Performance NAVRFKLANE19ZACC,41500,15500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1858080833num_on_page2page51search_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,309175,386468.75
VW ID.4 Pro Performance 150 kW AHK 360 Matrix,37430,22894,httpswww.12gebrauchtwagen.decpartnercar_ad_id1885879147num_on_page3page51search_id56381702titleVWID.4gebrauchtkaufen,2024-11-22,278853.5,348566.875
